sweep_key,sweep_id,eval_group,algorithm,lr,hyperparameter,hyperparameter_value,eval_jobs,average_score_mean,average_score_std,average_score_ci95,best_average_score,worst_average_score,source_summary,drive_folder
final_hp,citylearn-final-hp-20260506-r1,public_dev,ppo,3e-3,ent_coef,0.0,3,0.770650,0.023375,0.058070,0.751468,0.796685,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,ppo,1e-3,ent_coef,0.0,3,0.778410,0.040453,0.100498,0.731928,0.805647,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,ppo,3e-3,ent_coef,0.01,3,0.807975,0.033733,0.083805,0.771513,0.838073,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,ppo,1e-4,ent_coef,0.01,3,0.808327,0.017710,0.043997,0.789596,0.824799,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,ppo,1e-3,ent_coef,0.01,3,0.811886,0.052571,0.130604,0.767325,0.869866,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,ppo,1e-4,ent_coef,0.0,3,0.812090,0.037233,0.092500,0.769890,0.840307,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,sac,1e-3,reward_scaling,5.0,3,0.553356,0.016809,0.041760,0.533968,0.563860,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,sac,5e-4,reward_scaling,10.0,3,0.560255,0.020538,0.051023,0.544575,0.583504,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,sac,1e-3,reward_scaling,2.5,3,0.564754,0.002455,0.006100,0.562984,0.567557,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,sac,5e-4,reward_scaling,2.5,3,0.565668,0.029617,0.073579,0.531586,0.585162,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,sac,2e-4,reward_scaling,10.0,3,0.565938,0.025980,0.064543,0.535939,0.581115,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
final_hp,citylearn-final-hp-20260506-r1,public_dev,sac,5e-4,reward_scaling,5.0,3,0.566970,0.013516,0.033579,0.558293,0.582543,/n/fs/pvl-lidar/cache/ed1783/citylearn/sweeps/citylearn-final-hp-20260506-r1/summary.csv,https://drive.google.com/drive/folders/1bF4WxZ1BiUPAJc0raDXePxPzLSV7kfnP
