run_id,file_name,algorithm,variant,split,seed,dataset_name,average_score,district_cost_total,district_carbon_emissions_total,district_daily_peak_average,district_discomfort_proportion,district_one_minus_thermal_resilience_proportion
sac__central_baseline__public_dev__seed0__20260419_025928,sac__central_baseline__public_dev__seed0__20260419_025928.csv,sac,central_baseline,public_dev,0,citylearn_challenge_2023_phase_2_local_evaluation,0.544145,0.894344,0.906864,0.928021,0.012442,0.184127
sac__central_baseline__public_dev__seed1__20260419_212345,sac__central_baseline__public_dev__seed1__20260419_212345.csv,sac,central_baseline,public_dev,1,citylearn_challenge_2023_phase_2_local_evaluation,0.54667,0.888292,0.903882,0.920284,0.011753,0.160317
sac__central_baseline__public_dev__seed2__20260420_001948,sac__central_baseline__public_dev__seed2__20260420_001948.csv,sac,central_baseline,public_dev,2,citylearn_challenge_2023_phase_2_local_evaluation,0.559047,0.886325,0.905752,0.936521,0.011975,0.161905
sac__central_baseline__public_dev__seed3__20260420_061242,sac__central_baseline__public_dev__seed3__20260420_061242.csv,sac,central_baseline,public_dev,3,citylearn_challenge_2023_phase_2_local_evaluation,0.553326,0.886423,0.902847,0.930374,0.012288,0.138095
sac__central_baseline__public_dev__seed4__20260420_071501,sac__central_baseline__public_dev__seed4__20260420_071501.csv,sac,central_baseline,public_dev,4,citylearn_challenge_2023_phase_2_local_evaluation,0.566632,0.8836,0.900587,0.926003,0.012997,0.184127
sac__central_reward_v1__public_dev__seed0__20260419_085859,sac__central_reward_v1__public_dev__seed0__20260419_085859.csv,sac,central_reward_v1,public_dev,0,citylearn_challenge_2023_phase_2_local_evaluation,0.529279,0.822227,0.84964,0.76799,0.017283,0.252381
sac__central_reward_v1__public_dev__seed1__20260420_122740,sac__central_reward_v1__public_dev__seed1__20260420_122740.csv,sac,central_reward_v1,public_dev,1,citylearn_challenge_2023_phase_2_local_evaluation,0.536968,0.821496,0.846752,0.77104,0.020238,0.346032
sac__central_reward_v1__public_dev__seed2__20260420_133020,sac__central_reward_v1__public_dev__seed2__20260420_133020.csv,sac,central_reward_v1,public_dev,2,citylearn_challenge_2023_phase_2_local_evaluation,0.511595,0.82205,0.84535,0.755502,0.016574,0.204762
sac__central_reward_v1__public_dev__seed3__20260420_185350,sac__central_reward_v1__public_dev__seed3__20260420_185350.csv,sac,central_reward_v1,public_dev,3,citylearn_challenge_2023_phase_2_local_evaluation,0.520423,0.826565,0.85239,0.776782,0.018681,0.301587
sac__central_reward_v1__public_dev__seed4__20260420_215015,sac__central_reward_v1__public_dev__seed4__20260420_215015.csv,sac,central_reward_v1,public_dev,4,citylearn_challenge_2023_phase_2_local_evaluation,0.53828,0.820351,0.844935,0.743953,0.02086,0.346032
sac__central_reward_v2__public_dev__seed0__20260419_115431,sac__central_reward_v2__public_dev__seed0__20260419_115431.csv,sac,central_reward_v2,public_dev,0,citylearn_challenge_2023_phase_2_local_evaluation,0.520719,0.815587,0.842005,0.759656,0.018059,0.277778
sac__central_reward_v2__public_dev__seed1__20260420_081733,sac__central_reward_v2__public_dev__seed1__20260420_081733.csv,sac,central_reward_v2,public_dev,1,citylearn_challenge_2023_phase_2_local_evaluation,0.516576,0.815101,0.838958,0.76354,0.01977,0.32381
sac__central_reward_v2__public_dev__seed2__20260420_091949,sac__central_reward_v2__public_dev__seed2__20260420_091949.csv,sac,central_reward_v2,public_dev,2,citylearn_challenge_2023_phase_2_local_evaluation,0.547199,0.796281,0.819871,0.777605,0.021169,0.301587
sac__central_reward_v2__public_dev__seed3__20260420_102239,sac__central_reward_v2__public_dev__seed3__20260420_102239.csv,sac,central_reward_v2,public_dev,3,citylearn_challenge_2023_phase_2_local_evaluation,0.551165,0.805872,0.829203,0.797243,0.020238,0.346032
sac__central_reward_v2__public_dev__seed4__20260420_112506,sac__central_reward_v2__public_dev__seed4__20260420_112506.csv,sac,central_reward_v2,public_dev,4,citylearn_challenge_2023_phase_2_local_evaluation,0.542598,0.824218,0.847646,0.772151,0.019616,0.298413
sac__shared_dtde_reward_v2__public_dev__seed0__20260419_055829,sac__shared_dtde_reward_v2__public_dev__seed0__20260419_055829.csv,sac,shared_dtde_reward_v2,public_dev,0,citylearn_challenge_2023_phase_2_local_evaluation,0.584087,0.808492,0.827326,0.865898,0.022725,0.346032
sac__shared_dtde_reward_v2__public_dev__seed1__20260420_143324,sac__shared_dtde_reward_v2__public_dev__seed1__20260420_143324.csv,sac,shared_dtde_reward_v2,public_dev,1,citylearn_challenge_2023_phase_2_local_evaluation,0.549543,0.818826,0.836621,0.808239,0.022104,0.346032
sac__shared_dtde_reward_v2__public_dev__seed2__20260420_153722,sac__shared_dtde_reward_v2__public_dev__seed2__20260420_153722.csv,sac,shared_dtde_reward_v2,public_dev,2,citylearn_challenge_2023_phase_2_local_evaluation,0.573,0.800352,0.822453,0.863054,0.022725,0.322222
